"id","lottery","z1","z2","p1","ce","female","semester","highincome"
11,80,-4,-15,0.75,-11.425,0,2,0
12,2,15,4,0.05,9.775,1,6,0
12,3,55,20,0.05,41.875,1,6,0
12,5,20,7,0.05,13.175,1,6,0
12,6,15,4,0.25,8.125,1,6,0
12,8,-4,-15,0.95,-7.025,1,6,0
12,10,-4,-15,0.25,-7.025,1,6,0
12,14,15,4,0.75,11.425,1,6,0
12,18,-4,-7,0.5,-4.975,1,6,0
12,19,-4,-15,0.05,-8.125,1,6,0
12,26,-7,-20,0.25,-9.925,1,6,0
12,30,7,4,0.5,5.425,1,6,0
12,31,15,4,0.95,13.075,1,6,0
12,36,-7,-20,0.95,-9.275,1,6,0
12,40,15,4,0.5,9.225,1,6,0
12,41,-7,-20,0.75,-9.925,1,6,0
12,45,7,4,0.1,5.875,1,6,0
12,47,-4,-7,0.9,-4.375,1,6,0
12,48,-7,-20,0.05,-9.925,1,6,0
12,51,20,7,0.75,15.125,1,6,0
12,58,20,7,0.25,12.525,1,6,0
12,59,-20,-55,0.05,-34.875,1,6,0
12,64,-4,-7,0.1,-4.975,1,6,0
12,66,-7,-20,0.5,-10.575,1,6,0
12,67,7,4,0.9,4.975,1,6,0
12,68,20,7,0.95,16.425,1,6,0
12,72,-4,-15,0.5,-8.125,1,6,0
12,74,20,7,0.5,13.175,1,6,0
12,80,-4,-15,0.75,-7.025,1,6,0
13,2,15,4,0.05,4.825,0,1,1
13,3,55,20,0.05,22.625,0,1,1
13,5,20,7,0.05,9.925,0,1,1
13,6,15,4,0.25,9.775,0,1,1
13,8,-4,-15,0.95,-4.275,0,1,1
13,10,-4,-15,0.25,-10.875,0,1,1
13,14,15,4,0.75,11.975,0,1,1
13,18,-4,-7,0.5,-4.225,0,1,1
13,19,-4,-15,0.05,-13.075,0,1,1
13,26,-7,-20,0.25,-11.225,0,1,1
13,30,7,4,0.5,6.025,0,1,1
13,31,15,4,0.95,14.175,0,1,1
13,36,-7,-20,0.95,-8.625,0,1,1
13,40,15,4,0.5,11.425,0,1,1
13,41,-7,-20,0.75,-10.575,0,1,1
13,45,7,4,0.1,5.875,0,1,1
13,47,-4,-7,0.9,-4.525,0,1,1
13,48,-7,-20,0.05,-13.825,0,1,1
13,51,20,7,0.75,17.075,0,1,1
13,58,20,7,0.25,15.125,0,1,1
13,59,-20,-55,0.05,-45.375,0,1,1
13,64,-4,-7,0.1,-5.125,0,1,1
13,66,-7,-20,0.5,-10.575,0,1,1
13,67,7,4,0.9,6.625,0,1,1
13,68,20,7,0.95,19.025,0,1,1
13,72,-4,-15,0.5,-5.375,0,1,1
13,74,20,7,0.5,15.775,0,1,1
13,80,-4,-15,0.75,-5.925,0,1,1
14,2,15,4,0.05,5.375,0,3,0
14,3,55,20,0.05,20.875,0,3,0
14,5,20,7,0.05,7.325,0,3,0
14,6,15,4,0.25,7.025,0,3,0
14,8,-4,-15,0.95,-4.275,0,3,0
14,10,-4,-15,0.25,-11.975,0,3,0
14,14,15,4,0.75,9.775,0,3,0
14,18,-4,-7,0.5,-5.575,0,3,0
14,19,-4,-15,0.05,-14.725,0,3,0
14,26,-7,-20,0.25,-15.125,0,3,0
14,30,7,4,0.5,5.425,0,3,0
14,31,15,4,0.95,12.525,0,3,0
14,36,-7,-20,0.95,-8.625,0,3,0
14,40,15,4,0.5,10.325,0,3,0
14,41,-7,-20,0.75,-11.875,0,3,0
14,45,7,4,0.1,5.275,0,3,0
14,47,-4,-7,0.9,-4.975,0,3,0
14,48,-7,-20,0.05,-13.825,0,3,0
14,51,20,7,0.75,19.025,0,3,0
14,58,20,7,0.25,9.925,0,3,0
14,59,-20,-55,0.05,-50.625,0,3,0
14,64,-4,-7,0.1,-6.325,0,3,0
14,66,-7,-20,0.5,-11.225,0,3,0
14,67,7,4,0.9,6.475,0,3,0
14,68,20,7,0.95,18.375,0,3,0
14,72,-4,-15,0.5,-8.675,0,3,0
14,74,20,7,0.5,14.475,0,3,0
14,80,-4,-15,0.75,-7.025,0,3,0
16,2,15,4,0.05,7.575,0,1,0
16,3,55,20,0.05,36.625,0,1,0
16,5,20,7,0.05,13.175,0,1,0
16,6,15,4,0.25,9.225,0,1,0
16,8,-4,-15,0.95,-7.025,0,1,0
16,10,-4,-15,0.25,-10.325,0,1,0
16,14,15,4,0.75,9.775,0,1,0
16,18,-4,-7,0.5,-5.725,0,1,0
16,19,-4,-15,0.05,-10.325,0,1,0
16,26,-7,-20,0.25,-16.425,0,1,0
16,30,7,4,0.5,5.275,0,1,0
16,31,15,4,0.95,7.575,0,1,0
16,36,-7,-20,0.95,-11.875,0,1,0
16,40,15,4,0.5,9.225,0,1,0
16,41,-7,-20,0.75,-13.825,0,1,0
16,45,7,4,0.1,5.425,0,1,0
16,47,-4,-7,0.9,-5.125,0,1,0
16,48,-7,-20,0.05,-14.475,0,1,0
16,51,20,7,0.75,13.825,0,1,0
16,58,20,7,0.25,11.225,0,1,0
16,59,-20,-55,0.05,-38.375,0,1,0
16,64,-4,-7,0.1,-6.475,0,1,0
16,66,-7,-20,0.5,-13.825,0,1,0
16,67,7,4,0.9,5.575,0,1,0
16,68,20,7,0.95,15.775,0,1,0
16,72,-4,-15,0.5,-9.775,0,1,0
16,74,20,7,0.5,12.525,0,1,0
16,80,-4,-15,0.75,-9.225,0,1,0
17,2,15,4,0.05,11.975,1,6,0
17,3,55,20,0.05,29.625,1,6,0
17,5,20,7,0.05,11.225,1,6,0
17,6,15,4,0.25,10.325,1,6,0
17,8,-4,-15,0.95,-4.825,1,6,0
17,10,-4,-15,0.25,-11.975,1,6,0
17,14,15,4,0.75,9.775,1,6,0
17,18,-4,-7,0.5,-5.425,1,6,0
17,19,-4,-15,0.05,-11.425,1,6,0
17,26,-7,-20,0.25,-15.125,1,6,0
17,30,7,4,0.5,6.025,1,6,0
17,31,15,4,0.95,11.975,1,6,0
17,36,-7,-20,0.95,-9.275,1,6,0
17,40,15,4,0.5,10.325,1,6,0
17,41,-7,-20,0.75,-10.575,1,6,0
17,45,7,4,0.1,4.975,1,6,0
17,47,-4,-7,0.9,-4.975,1,6,0
17,48,-7,-20,0.05,-15.125,1,6,0
17,51,20,7,0.75,15.775,1,6,0
17,58,20,7,0.25,11.875,1,6,0
17,59,-20,-55,0.05,-45.375,1,6,0
17,64,-4,-7,0.1,-6.025,1,6,0
17,66,-7,-20,0.5,-13.825,1,6,0
17,67,7,4,0.9,6.625,1,6,0
17,68,20,7,0.95,18.375,1,6,0
17,72,-4,-15,0.5,-8.675,1,6,0
17,74,20,7,0.5,14.475,1,6,0
17,80,-4,-15,0.75,-6.475,1,6,0
18,2,15,4,0.05,7.025,0,1,0
18,3,55,20,0.05,27.875,0,1,0
18,5,20,7,0.05,9.925,0,1,0
18,6,15,4,0.25,8.125,0,1,0
18,8,-4,-15,0.95,-5.925,0,1,0
18,10,-4,-15,0.25,-10.875,0,1,0
18,14,15,4,0.75,8.675,0,1,0
18,18,-4,-7,0.5,-5.425,0,1,0
18,19,-4,-15,0.05,-13.075,0,1,0
18,26,-7,-20,0.25,-15.775,0,1,0
18,30,7,4,0.5,5.575,0,1,0
18,31,15,4,0.95,13.075,0,1,0
18,36,-7,-20,0.95,-8.625,0,1,0
18,40,15,4,0.5,9.775,0,1,0
18,41,-7,-20,0.75,-11.875,0,1,0
18,45,7,4,0.1,4.825,0,1,0
18,47,-4,-7,0.9,-4.525,0,1,0
18,48,-7,-20,0.05,-17.725,0,1,0
18,51,20,7,0.75,15.775,0,1,0
18,58,20,7,0.25,11.225,0,1,0
18,59,-20,-55,0.05,-48.875,0,1,0
18,64,-4,-7,0.1,-6.325,0,1,0
18,66,-7,-20,0.5,-11.875,0,1,0
18,67,7,4,0.9,6.625,0,1,0
18,68,20,7,0.95,17.725,0,1,0
18,72,-4,-15,0.5,-9.225,0,1,0
18,74,20,7,0.5,13.825,0,1,0
18,80,-4,-15,0.75,-7.575,0,1,0
19,2,15,4,0.05,9.775,0,1,0
19,3,55,20,0.05,20.875,0,1,0
19,5,20,7,0.05,11.875,0,1,0
19,6,15,4,0.25,8.125,0,1,0
19,8,-4,-15,0.95,-5.375,0,1,0
19,10,-4,-15,0.25,-11.975,0,1,0
19,14,15,4,0.75,10.875,0,1,0
19,18,-4,-7,0.5,-5.575,0,1,0
19,19,-4,-15,0.05,-14.175,0,1,0
19,26,-7,-20,0.25,-17.075,0,1,0
19,30,7,4,0.5,4.825,0,1,0
19,31,15,4,0.95,13.625,0,1,0
19,36,-7,-20,0.95,-8.625,0,1,0
19,40,15,4,0.5,8.675,0,1,0
19,41,-7,-20,0.75,-10.575,0,1,0
19,45,7,4,0.1,4.225,0,1,0
19,47,-4,-7,0.9,-4.375,0,1,0
19,48,-7,-20,0.05,-19.025,0,1,0
19,51,20,7,0.75,9.925,0,1,0
19,58,20,7,0.25,10.575,0,1,0
19,59,-20,-55,0.05,-52.375,0,1,0
19,64,-4,-7,0.1,-6.925,0,1,0
19,66,-7,-20,0.5,-18.375,0,1,0
19,67,7,4,0.9,6.625,0,1,0
19,68,20,7,0.95,19.025,0,1,0
19,72,-4,-15,0.5,-9.775,0,1,0
19,74,20,7,0.5,11.875,0,1,0
19,80,-4,-15,0.75,-7.025,0,1,0
20,2,15,4,0.05,5.925,1,1,0
20,3,55,20,0.05,26.125,1,1,0
20,5,20,7,0.05,9.925,1,1,0
20,6,15,4,0.25,10.325,1,1,0
20,8,-4,-15,0.95,-4.275,1,1,0
20,10,-4,-15,0.25,-11.975,1,1,0
20,14,15,4,0.75,9.225,1,1,0
20,18,-4,-7,0.5,-5.425,1,1,0
20,19,-4,-15,0.05,-12.525,1,1,0
20,26,-7,-20,0.25,-15.775,1,1,0
20,30,7,4,0.5,5.875,1,1,0
20,31,15,4,0.95,9.775,1,1,0
20,36,-7,-20,0.95,-12.525,1,1,0
20,40,15,4,0.5,7.575,1,1,0
20,41,-7,-20,0.75,-11.875,1,1,0
20,45,7,4,0.1,4.975,1,1,0
20,47,-4,-7,0.9,-5.725,1,1,0
20,48,-7,-20,0.05,-17.725,1,1,0
20,51,20,7,0.75,11.225,1,1,0
20,58,20,7,0.25,9.925,1,1,0
20,59,-20,-55,0.05,-50.625,1,1,0
20,64,-4,-7,0.1,-6.475,1,1,0
20,66,-7,-20,0.5,-15.775,1,1,0
20,67,7,4,0.9,4.975,1,1,0
20,68,20,7,0.95,13.175,1,1,0
20,72,-4,-15,0.5,-11.975,1,1,0
20,74,20,7,0.5,11.225,1,1,0
20,80,-4,-15,0.75,-11.975,1,1,0
21,2,15,4,0.05,10.325,1,1,0
21,3,55,20,0.05,41.875,1,1,0
21,5,20,7,0.05,11.225,1,1,0
21,6,15,4,0.25,7.575,1,1,0
21,8,-4,-15,0.95,-4.275,1,1,0
21,10,-4,-15,0.25,-12.525,1,1,0
21,14,15,4,0.75,11.975,1,1,0
21,18,-4,-7,0.5,-5.575,1,1,0
21,19,-4,-15,0.05,-12.525,1,1,0
21,26,-7,-20,0.25,-14.475,1,1,0
21,30,7,4,0.5,5.875,1,1,0
21,31,15,4,0.95,14.175,1,1,0
21,36,-7,-20,0.95,-8.625,1,1,0
21,40,15,4,0.5,11.975,1,1,0
21,41,-7,-20,0.75,-8.625,1,1,0
21,45,7,4,0.1,5.425,1,1,0
21,47,-4,-7,0.9,-4.375,1,1,0
21,48,-7,-20,0.05,-16.425,1,1,0
21,51,20,7,0.75,15.775,1,1,0
21,58,20,7,0.25,11.225,1,1,0
21,59,-20,-55,0.05,-43.625,1,1,0
21,64,-4,-7,0.1,-6.025,1,1,0
21,66,-7,-20,0.5,-14.475,1,1,0
21,67,7,4,0.9,6.475,1,1,0
21,68,20,7,0.95,18.375,1,1,0
21,72,-4,-15,0.5,-9.775,1,1,0
21,74,20,7,0.5,14.475,1,1,0
21,80,-4,-15,0.75,-5.925,1,1,0
22,2,15,4,0.05,7.025,0,1,0
