"gid","sid","dg","order","self_x","self_y","other_x","other_y","choice_x","q","v","s_y","s_x","r_y","r_x","self_z","other_z","pos_reciproc","drop","bf_consciousness","bf_openness","bf_extraversion","bf_agreeableness","bf_neuroticism","pe_D1_stud_natsci","pe_D1_stud_law","pe_D1_stud_socsci","pe_D1_stud_med","cogabil","pe_age","pe_female","pe_monthinc"
10,122010051907,0,49,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,8,17,8,6,6,0,0,0,1,8,20,1,150
10,132010050501,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,16,6,11,7,1,0,0,0,5,23,0,160
10,132010050502,0,4,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,13,24,10,7,-2,0,1,0,0,7,22,0,1000
10,132010050603,0,21,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,26,13,11,2,0,0,0,0,5,23,1,1200
10,132010050704,0,45,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,19,-2,12,6,1,0,0,0,11,22,0,1500
10,132010050705,0,21,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,-1,23,7,8,1,1,0,0,0,10,21,0,500
10,132010050706,0,40,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,7,19,11,5,7,0,0,0,1,2,21,1,1500
10,132010051907,0,16,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,22,13,4,2,1,0,0,0,5,21,0,500
10,142010050501,0,40,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,25,-3,13,4,0,0,1,0,3,30,1,0
10,142010050502,0,30,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,16,1,4,3,1,0,0,0,6,21,0,200
10,142010050603,0,42,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,3,20,0,6,12,1,0,0,0,4,21,1,400
10,142010050704,0,13,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,24,10,7,2,1,0,0,0,11,20,0,1500
10,142010050705,0,51,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,23,-2,9,-2,0,0,0,0,7,21,1,4500
10,142010050706,0,12,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,12,23,9,4,2,0,0,1,0,5,26,1,2000
10,142010051907,0,16,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,6,13,6,8,7,1,0,0,0,10,19,1,1000
10,152010050501,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,22,13,8,9,1,0,0,0,8,22,1,700
10,152010050502,0,33,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,21,5,8,3,1,0,0,0,9,22,0,750
10,152010050603,0,13,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,0,25,4,5,0,1,0,0,0,6,19,0,600
10,152010050704,0,48,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,23,3,9,11,1,0,0,0,9,20,0,700
10,152010050705,0,5,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,10,22,2,7,-3,0,0,0,0,8,21,1,1000
10,152010050706,0,14,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,4,20,7,10,-4,1,0,0,0,4,21,0,1000
10,152010051907,0,26,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,26,10,6,1,0,0,1,0,6,23,1,1000
10,162010050501,0,9,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,9,27,10,7,-3,1,0,0,0,7,21,1,1000
10,162010050502,0,3,450,210,1020,720,0,1,0,1,1,0,0,70,860,1,1,10,24,9,10,0,0,0,0,1,6,21,1,500
10,162010050603,0,51,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,13,20,9,9,2,1,0,0,0,6,22,1,1000
10,162010050704,0,11,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,23,12,10,0,0,0,0,0,5,22,1,900
10,162010050705,0,37,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,11,20,4,9,9,0,0,0,1,8,20,1,200
10,162010050706,0,44,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,18,2,8,3,1,0,0,0,10,21,0,700
10,162010051907,0,1,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,2,23,1,11,4,0,0,0,0,6,20,1,1000
10,172010050501,0,23,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,1,7,20,5,6,3,0,0,0,0,9,21,0,300
10,172010050502,0,29,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,5,18,1,11,3,1,0,0,0,8,21,0,200
10,172010050603,0,36,450,210,1020,720,1,1,0,1,1,0,0,70,860,1,0,7,15,7,9,8,0,0,0,0,1,34,0,960
